observation,independent_param,dependent_param
church11,1.0,1927.9354571030124
church11,1.05,2026.155905208257
church11,1.1,2124.3756097720507
church11,1.15,2222.594667134738
church11,1.2,2320.813159119639
church11,1.25,2419.0311530148515
church11,1.3,2517.2487097865924
church11,1.35,2615.465876117205
church11,1.4,2713.682696731127
church11,1.45,2811.899203773738
church11,1.5,2910.1154311384207
mouginot_rignot14,1.0,1354.4922371428493
mouginot_rignot14,1.05,1422.5198828602884
mouginot_rignot14,1.1,1490.5475054489705
mouginot_rignot14,1.15,1558.5751058168116
mouginot_rignot14,1.2,1626.602689718831
mouginot_rignot14,1.25,1694.6302559175322
mouginot_rignot14,1.3,1762.6578078412429
mouginot_rignot14,1.35,1830.6853471096688
mouginot_rignot14,1.4,1898.71287534798
mouginot_rignot14,1.45,1966.7403930367338
mouginot_rignot14,1.5,2034.7679009985143
harig_simons15,1.0,1899.7617751793446
harig_simons15,1.05,1995.2345119100776
harig_simons15,1.1,2090.707163875672
harig_simons15,1.15,2186.179747266525
harig_simons15,1.2,2281.6522627843174
harig_simons15,1.25,2377.1247246084263
harig_simons15,1.3,2472.597141823275
harig_simons15,1.35,2568.069515562401
harig_simons15,1.4,2663.5418494232044
harig_simons15,1.45,2759.0141475124383
harig_simons15,1.5,2854.486416137352
