observation,independent_param,dependent_param
leclerqu11,0,149.34377555660976
leclerqu11,1,181.0694047437204
leclerqu11,2,195.39799176157314
leclerqu11,3,149.11251242710273
leclerqu11,4,95.77153836688633
leclerqu11,5,193.11695462539757
leclerqu11,6,182.89670551497238
leclerqu11,7,165.21742271468744
leclerqu11,8,162.36363420252644
leclerqu11,9,138.28645095862376
leclerqu11,10,182.16881094727276
leclerqu11,11,174.71980136503737
leclerqu11,12,152.34949658423804
leclerqu11,13,165.03264599617083
leclerqu11,14,209.16499370106058
leclerqu11,15,190.03892784374955
leclerqu11,16,171.9631917144185
leclerqu11,17,115.80574311134092
leclerqu11,18,188.8393910149377
cogley09,0,208.6039206336375
cogley09,1,250.4814424096583
cogley09,2,268.77048314138597
cogley09,3,208.103823388746
cogley09,4,135.01809630553976
cogley09,5,267.1634401022068
cogley09,6,251.98535404839956
cogley09,7,230.61099979092984
cogley09,8,219.33582537484546
cogley09,9,193.27629796321492
cogley09,10,253.00618708143483
cogley09,11,242.90935192236427
cogley09,12,211.323203941601
cogley09,13,228.74144145155506
cogley09,14,288.1489515986636
cogley09,15,263.7385833519388
cogley09,16,238.75548664158674
cogley09,17,162.47345731550976
cogley09,18,261.88578278529064
marzeion12,0,194.40225859857136
marzeion12,1,234.29286172033127
marzeion12,2,252.31976980441422
marzeion12,3,194.11348517074686
marzeion12,4,127.14940320904991
marzeion12,5,249.43940870055985
marzeion12,6,236.59790843963216
marzeion12,7,214.34843305341928
marzeion12,8,210.79810767529656
marzeion12,9,180.51220581926123
marzeion12,10,235.66606865809402
marzeion12,11,226.30024461429875
marzeion12,12,198.191634813685
marzeion12,13,214.13117443193306
marzeion12,14,269.629362552246
marzeion12,15,245.56179460209168
marzeion12,16,222.83842209484175
marzeion12,17,152.28307401343125
marzeion12,18,244.05550569385
