observation,independent_param,dependent_param
broeke16,-0.9,9.232439648998209e-05
broeke16,-0.85,8.752790945794262e-05
broeke16,-0.8,8.286830052849275e-05
broeke16,-0.75,7.829299424976434e-05
broeke16,-0.7,7.387608110642859e-05
broeke16,-0.65,6.962132271794203e-05
broeke16,-0.6,6.55316066158392e-05
broeke16,-0.55,6.160894934238256e-05
broeke16,-0.5,5.7854506720203536e-05
forsberg17,-0.9,0.0002216323314333183
forsberg17,-0.85,0.00020563656365271257
forsberg17,-0.8,0.00019039801301466654
forsberg17,-0.75,0.0001759255450624723
forsberg17,-0.7,0.00016222267662759435
forsberg17,-0.65,0.0001492877640884731
forsberg17,-0.6,0.00013711427349075573
forsberg17,-0.55,0.00012569112096212504
forsberg17,-0.5,0.0001150030687698764
box_colgan13,-0.9,3.971167042778395e-05
box_colgan13,-0.85,3.592232106673019e-05
box_colgan13,-0.8,3.236891998822931e-05
box_colgan13,-0.75,2.9053224937424946e-05
box_colgan13,-0.7,2.597644545892652e-05
box_colgan13,-0.65,2.313610208135505e-05
box_colgan13,-0.6,2.052771222264592e-05
box_colgan13,-0.55,1.814501767925604e-05
box_colgan13,-0.5,1.5979063745262e-05
