Component,Observation,temperature anomaly year
ant_dp16,1.22,
ant_dp16,10.22,
ant_dp16,11.22,
ant_dp16,12.22,
ant_dp16,13.22,
ant_dp16,14.22,
ant_dp16,15.22,
ant_dp16,16.22,
ant_dp16,17.22,
ant_dp16,18.22,
ant_dp16,19.22,
ant_dp16,2.22,
ant_dp16,20.22,
ant_dp16,21.22,
ant_dp16,22.22,
ant_dp16,23.22,
ant_dp16,24.22,
ant_dp16,25.22,
ant_dp16,26.22,
ant_dp16,27.22,
ant_dp16,28.22,
ant_dp16,29.22,
ant_dp16,3.22,
ant_dp16,4.22,
ant_dp16,5.22,
ant_dp16,6.22,
ant_dp16,7.22,
ant_dp16,8.22,
ant_dp16,9.22,
ant_sid,church11,
ant_sid,harig_simons15,1980
ant_sid,mouginot_rignot14,1980
ant_smb,ligtenberg13,
gic,cogley09,
gic,leclerqu11,
gic,marzeion12,
gis_sid,box_colgan13,
gis_sid,broeke16,1961
gis_sid,forsberg17,1961
gis_smb,box_colgan13,
gis_smb,broeke16,
gis_smb,forsberg17,
thermexp,domingues08_church11_purkey10,
thermexp,domingues08_church11_zero,
thermexp,domingues08_levitus12_purkey10,
thermexp,domingues08_levitus12_zero,
thermexp,ishii09_church11_purkey10,
thermexp,ishii09_church11_zero,
thermexp,ishii09_levitus12_purkey10,
thermexp,ishii09_levitus12_zero,
thermexp,levitus12_church11_purkey10,
thermexp,levitus12_church11_zero,
thermexp,levitus12_levitus12_purkey10,
thermexp,levitus12_levitus12_zero,
