observation,independent_param,dependent_param
domingues08_levitus12_zero,0.488,290.5096609379532
domingues08_levitus12_zero,0.458,270.67861118298123
domingues08_levitus12_zero,0.2,99.35883840002279
domingues08_levitus12_zero,0.214,108.74133029545804
domingues08_levitus12_zero,0.626,381.6624023554918
domingues08_levitus12_zero,0.386,223.04700866385554
domingues08_levitus12_purkey10,0.488,248.07371841016777
domingues08_levitus12_purkey10,0.458,230.83457970272536
domingues08_levitus12_purkey10,0.2,81.6673070451165
domingues08_levitus12_purkey10,0.214,89.86221849202674
domingues08_levitus12_purkey10,0.626,327.29140362714116
domingues08_levitus12_purkey10,0.386,189.41693582013758
domingues08_church11_zero,0.488,335.63879933131915
domingues08_church11_zero,0.458,313.04700627441935
domingues08_church11_zero,0.2,118.10461080067181
domingues08_church11_zero,0.214,128.75543411974851
domingues08_church11_zero,0.626,439.5012670726927
domingues08_church11_zero,0.386,258.7951834481149
domingues08_church11_purkey10,0.488,281.5250591997766
domingues08_church11_purkey10,0.458,262.2435019931907
domingues08_church11_purkey10,0.2,95.63494175313099
domingues08_church11_purkey10,0.214,104.76303000883982
domingues08_church11_purkey10,0.626,370.14863169456623
domingues08_church11_purkey10,0.386,215.9299015552256
ishii09_levitus12_zero,0.488,592.3852225092406
ishii09_levitus12_zero,0.458,554.0916481437924
ishii09_levitus12_zero,0.2,224.29531432522347
ishii09_levitus12_zero,0.214,242.24458462519138
ishii09_levitus12_zero,0.626,768.4930011884816
ishii09_levitus12_zero,0.386,462.16454511529224
ishii09_levitus12_purkey10,0.488,430.3259885483566
ishii09_levitus12_purkey10,0.458,401.96917379957233
ishii09_levitus12_purkey10,0.2,157.43844927771784
ishii09_levitus12_purkey10,0.214,170.78430327053593
ishii09_levitus12_purkey10,0.626,560.7092254584031
ishii09_levitus12_purkey10,0.386,333.88190488498094
ishii09_church11_zero,0.488,1000.2858889123338
ishii09_church11_zero,0.458,937.0061427384966
ishii09_church11_zero,0.2,392.5162493312097
ishii09_church11_zero,0.214,422.09363541966337
ishii09_church11_zero,0.626,1291.3462653538293
ishii09_church11_zero,0.386,785.1209112138777
ishii09_church11_purkey10,0.488,606.2886569245621
ishii09_church11_purkey10,0.458,567.1830232734045
ishii09_church11_purkey10,0.2,230.40942915787952
ishii09_church11_purkey10,0.214,248.7368826361943
ishii09_church11_purkey10,0.626,786.1327539134222
ishii09_church11_purkey10,0.386,473.3074019667034
levitus12_levitus12_zero,0.488,363.4585851901928
levitus12_levitus12_zero,0.458,339.19614694472045
levitus12_levitus12_zero,0.2,129.80171577740637
levitus12_levitus12_zero,0.214,141.24951216629697
levitus12_levitus12_zero,0.626,475.0011102672893
levitus12_levitus12_zero,0.386,280.9318558500765
levitus12_levitus12_purkey10,0.488,291.6284978506862
levitus12_levitus12_purkey10,0.458,271.7584212989756
levitus12_levitus12_purkey10,0.2,99.9211573859292
levitus12_levitus12_purkey10,0.214,109.35797582782077
levitus12_levitus12_purkey10,0.626,382.9492377538489
levitus12_levitus12_purkey10,0.386,224.02646706291713
levitus12_church11_zero,0.488,422.1279903321732
levitus12_church11_zero,0.458,394.2724034125396
levitus12_church11_zero,0.2,154.11036127459033
levitus12_church11_zero,0.214,167.21115299422522
levitus12_church11_zero,0.626,550.2095788969383
levitus12_church11_zero,0.386,327.39034766197653
levitus12_church11_purkey10,0.488,329.8950389517442
levitus12_church11_purkey10,0.458,307.6867401923851
levitus12_church11_purkey10,0.2,115.89252311091485
levitus12_church11_purkey10,0.214,126.39295183978774
levitus12_church11_purkey10,0.626,431.98307770835396
levitus12_church11_purkey10,0.386,254.3494303683727
