 a1b_med a1b_low a1b_high rcp26_med rcp26_low rcp26_high rcp45_med rcp45_low rcp45_high rcp60_med rcp60_low rcp60_high rcp85_med rcp85_low rcp85_high
ThermalExpansion 0.21 0.16 0.26 0.14 0.1 0.18 0.19 0.14 0.23 0.19 0.15 0.24 0.27 0.21 0.33
MountainGlaciers 0.14 0.08 0.21 0.1 0.04 0.16 0.12 0.06 0.19 0.12 0.06 0.19 0.16 0.09 0.23
Greenland_Smb 0.05 0.02 0.12 0.03 0.01 0.07 0.04 0.01 0.09 0.04 0.01 0.09 0.07 0.03 0.16
Antarctic_Smb -0.03 -0.06 -0.01 -0.02 -0.04 0 -0.02 -0.05 -0.01 -0.02 -0.05 -0.01 -0.04 -0.07 -0.01
Greenland_rapidDyn 0.04 0.01 0.06 0.04 0.01 0.06 0.04 0.01 0.06 0.04 0.01 0.06 0.05 0.02 0.07
Antarctica_rapidDyn 0.07 -0.01 0.16 0.07 -0.01 0.16 0.07 -0.01 0.16 0.07 -0.01 0.16 0.07 -0.01 0.16
LandWaterStorage 0.04 -0.01 0.09 0.04 -0.01 0.09 0.04 -0.01 0.09 0.04 -0.01 0.09 0.04 -0.01 0.09
mean_slr_2081_2100 0.52 0.37 0.69 0.4 0.26 0.55 0.47 0.32 0.63 0.48 0.33 0.63 0.63 0.45 0.82
Greenland_Sum 0.09 0.05 0.15 0.06 0.04 0.1 0.08 0.04 0.13 0.08 0.04 0.13 0.12 0.07 0.21
Antarctica_Sum 0.04 -0.05 0.13 0.05 -0.03 0.14 0.05 -0.04 0.13 0.05 -0.04 0.13 0.04 -0.06 0.12
Ice-sheet_rapid_dyn 0.1 0.03 0.19 0.1 0.03 0.19 0.1 0.03 0.19 0.1 0.03 0.19 0.12 0.03 0.2
rate_slr_2081_2100 8.1 5.1 11.4 4.4 2 6.8 6.1 3.5 8.8 7.4 4.7 10.3 11.2 7.5 15.7
mean_slr_2046_2065 0.27 0.19 0.34 0.24 0.17 0.32 0.26 0.19 0.33 0.25 0.18 0.32 0.3 0.22 0.38
mean_slr_2100 0.6 0.42 0.8 0.44 0.28 0.61 0.53 0.36 0.71 0.55 0.38 0.73 0.74 0.52 0.98
